Position,"Track Name",Artist,Streams,URL
102,"Hotter Than Hell","Dua Lipa",491459,https://open.spotify.com/track/1z5jOmNswvnzjC5gFLu5Dv
103,"My House","Flo Rida",482649,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
104,"Dangerous Woman","Ariana Grande",481898,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi
105,Famous,"Kanye West",481240,https://open.spotify.com/track/04mf1OkXHZ6TPBNM9sBcSm
106,"Let It Go","James Bay",471431,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
107,"Never Forget You","Zara Larsson",470775,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
108,Cruel,Snakehips,468025,https://open.spotify.com/track/0B2RttXEiyXsMeQ7mMP3EI
109,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,465611,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd
110,Rise,"Katy Perry",460158,https://open.spotify.com/track/1Ui3r0Ih8F2MroiCWreCYi
111,Stay,Kygo,459473,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
112,"Can't Feel My Face","The Weeknd",451723,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
113,"Andas En Mi Cabeza","Chino & Nacho",433734,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
114,"Bailar - Radio Edit",Deorro,433085,https://open.spotify.com/track/45sGyAtAxD6efaN0bJAFgh
115,"Hasta el Amanecer","Nicky Jam",432563,https://open.spotify.com/track/4wFHfY9IILHLNwakPuFogD
116,"Adventure Of A Lifetime",Coldplay,422521,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
117,"Sugar (feat. Francesco Yates)","Robin Schulz",418970,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
118,"Lost Boy","Ruth B",405231,https://open.spotify.com/track/4h0zU3O9R5xzuTmNO7dNDU
119,Sugar,"Maroon 5",404240,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
120,"Otra Vez (feat. J Balvin)","Zion & Lennox",397045,https://open.spotify.com/track/7pk3EpFtmsOdj8iUhjmeCM
121,"Good Grief",Bastille,396614,https://open.spotify.com/track/7n9bPHZvl5UvmLPhNjUH1C
122,"When We Were Young",Adele,395356,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL
123,Don't,"Bryson Tiller",391693,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
124,"The Hills","The Weeknd",391330,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
125,Aloha,Møme,390746,https://open.spotify.com/track/2UMZjhZWNxZezcZiZvyvsZ
126,Chandelier,Sia,390232,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
127,"Borro Cassette",Maluma,385248,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
128,"Shaky Shaky","Daddy Yankee",384705,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
129,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",382049,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
130,"Uptown Funk","Mark Ronson",377190,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
131,"Hands To Myself","Selena Gomez",374756,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
132,Champions,"Kanye West",370119,https://open.spotify.com/track/2nBI3iWLhupR7LyAJ5GGkE
133,Company,"Justin Bieber",368064,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
134,"Lose Yourself - Soundtrack Version",Eminem,367775,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
135,"Money Longer","Lil Uzi Vert",365271,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
136,Wicked,Future,363607,https://open.spotify.com/track/6BbINUfGabVyiNFJpQXn3x
137,Sexual,NEIKED,361744,https://open.spotify.com/track/24n5tZm9XnaoNAkcW5NC5B
138,"No Role Modelz","J. Cole",361733,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
139,"Is This Love - Remix","Bob Marley & The Wailers",359791,https://open.spotify.com/track/1w5sLDYzYAGI0AkLc6FPlO
140,"See You Again (feat. Charlie Puth) - From ""Furious 7""","Wiz Khalifa",359494,https://open.spotify.com/track/66CFbqJScx6zRieGllITcs
141,"One Call Away","Charlie Puth",358590,https://open.spotify.com/track/37R0bQOQj5a7DOqh1TGzvB
142,"Dancing On My Own","Calum Scott",358193,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
143,"How Deep Is Your Love","Calvin Harris",358122,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
144,YOUTH,"Troye Sivan",357048,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
