,Position,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
86,87,0.567,0.0811,125.02,0.0956,0.59,0.00142,4.0,0.845,5.0,205680.0,-8.118,0.794,0.0
87,88,0.736,0.347,100.03,0.045,0.0165,0.0,4.0,0.592,2.0,240147.0,-6.162,0.224,1.0
88,89,0.7,0.0939,124.944,0.0456,0.117,0.0,4.0,0.584,11.0,202747.0,-4.275,0.425,1.0
89,90,0.8,0.0775,89.972,0.215,0.0561,2.01e-06,4.0,0.592,6.0,224813.0,-4.931,0.736,0.0
90,91,0.754,0.0486,149.882,0.067,0.0152,0.0,4.0,0.746,1.0,206880.0,-6.681,0.762,1.0
91,92,0.657,0.356,112.23,0.0907,0.00293,0.0,4.0,0.919,7.0,291213.0,-2.823,0.669,1.0
92,93,0.461,0.105,133.072,0.107,0.173,3.31e-06,4.0,0.721,4.0,212947.0,-9.979,0.0566,0.0
93,94,0.547,0.341,142.065,0.194,0.0565,0.0,4.0,0.853,1.0,205879.0,-7.535,0.677,1.0
94,95,0.741,0.11,97.048,0.139,0.0294,0.0,4.0,0.591,0.0,230227.0,-5.751,0.439,1.0
95,96,0.624,0.145,124.012,0.0698,0.258,0.0,4.0,0.667,6.0,234213.0,-5.397,0.407,0.0
96,97,0.888,0.125,177.908,0.122,0.117,1.55e-05,4.0,0.729,10.0,209427.0,-2.864,0.79,1.0
97,98,0.743,0.3,89.974,0.0409,0.255,7.21e-06,4.0,0.49,0.0,258827.0,-5.155,0.376,0.0
98,99,0.72,0.15,128.014,0.0324,0.127,0.0,4.0,0.691,2.0,210467.0,-5.918,0.904,1.0
99,100,0.77,0.159,130.037,0.0446,0.0431,0.0,4.0,0.605,5.0,225915.0,-3.645,0.314,0.0
100,101,0.445,0.184,78.998,0.0295,0.474,0.0,4.0,0.781,2.0,281560.0,-6.061,0.584,1.0
101,102,0.746,0.116,173.955,0.119,0.072,0.0,4.0,0.472,6.0,196040.0,-3.649,0.442,1.0
102,103,0.868,0.0584,110.127,0.0908,0.011,0.0,4.0,0.532,3.0,187958.0,-4.23,0.538,0.0
103,104,0.702,0.128,94.006,0.0499,0.0215,0.0,4.0,0.688,7.0,192191.0,-4.792,0.731,0.0
